CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,IRQ_DS,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF24,AF35
PA0,10,0,,,,,MTIOC4A,,TIOCA0,,,PO16,,,,,,,SSLA1,,,,ET_TX_EN,RMII_TXD_EN,,,
PA1,10,1,,IRQ11,,,MTIOC0B,MTCLKC,TIOCB0,,,PO17,,,,SCK5,,,SSLA2,,,,ET_WOL,,,,
PA2,10,2,,,,,,,,,,PO18,,,,RXD5/SMISO5/SSCL5,,,SSLA3,,,,,,,,
PA3,10,3,,,,,MTIOC0D,MTCLKD,TIOCD0,TCLKB,,PO19,,,,RXD5/SMISO5/SSCL5,,,,,,,ET_MDIO,,,,
PA4,10,4,,,IRQ5,,MTIC5U,MTCLKA,TIOCA1,,TMRI0,PO20,,,,TXD5/SMOSI5/SSDA5,,,SSLA0,,,,ET_MDC,,,,
PA5,10,5,,,,,,,TIOCB1,,,PO21,,,,,,,RSPCKA,,,,ET_LINKSTA,,,,
PA6,10,6,,,,,MTIC5V,MTCLKB,TIOCA2,,TMCI3,PO22,POE2#,,,,CTS5#/RTS5#/SS5#,,MOSIA,,,,ET_EXOUT,,,,
PA7,10,7,,,,,,,TIOCB2,,,PO23,,,,,,,MISOA,,,,ET_WOL,,,,
PB0,11,0,,IRQ12,,,MTIC5W,,TIOCA3,,,PO24,,,,RXD4/SMISO4/SSCL4,RXD6/SMISO6/SSCL6,,RSPCKA,,,,ET_ERXD1,RMII_RXD1,,,
PB1,11,1,,,IRQ4,,MTIOC0C,MTIOC4C,TIOCB3,,TMCI0,PO25,,,,TXD4/SMOSI4/SSDA4,TXD6/SMOSI6/SSDA6,,,,,,ET_ERXD0,RMII_RXD0,,,
PB2,11,2,,,,,,,TIOCC3,TCLKC,,PO26,,,,CTS4#/RTS4#/SS4#,CTS6#/RTS6#/SS6#,,,,,,ET_RX_CLK,REF50CK,,,
PB3,11,3,,,,,MTIOC0A,MTIOC4A,TIOCD3,TCLKD,TMO0,PO27,POE3#,,,SCK4,SCK6,,,,,,ET_RX_ER,RMII_RX_ER,,,
PB4,11,4,,,,,,,TIOCA4,,,PO28,,,,,CTS9#/RTS9#/SS9#,,,,,,ET_TX_EN,RMII_TXD_EN,,,
PB5,11,5,,,,,MTIOC2A,MTIOC1B,TIOCB4,,,PO29,POE1#,,,SCK9,,,,,,,ET_ETXD0,RMII_TXD0,,,
PB6,11,6,,,,,MTIOC3D,,TIOCA5,,,PO30,,,,RXD9/SMISO9/SSCL9,,,,,,,ET_ETXD1,RMII_TXD1,,,
PB7,11,7,,,,,MTIOC3B,,TIOCB5,,,PO31,,,,TXD9/SMOSI9/SSDA9,,,,,,,ET_CRS,RMII_CRS_DV,,,
PC0,12,0,,IRQ14,,,MTIOC3C,,TCLKC,,,PO17,,,,,CTS5#/RTS5#/SS5#,,SSLA1,,SCL3,,ET_ERXD3,,,,
PC1,12,1,,IRQ12,,,MTIOC3C MTIOC3A,,TCLKD,,,PO18,,,,SCK5,,,SSLA2,,SDA3,,ET_ERXD2,,,,
PC2,12,2,,,,,MTIOC4B,,TCLKA,,,PO21,,,,RXD5/SMISO5/SSCL5,,,SSLA3,,,IERXD,ET_RX_DV,,,,
PC3,12,3,,,,,MTIOC4D,,TCLKB,,,PO24,,,,TXD5/SMOSI5/SSDA5,,,,,,IETXD,ET_TX_ER,,,,
PC4,12,4,,,,,MTIOC3D,MTCLKC,TIOCC6,TCLKE,TMCI1,PO25,POE0#,,,SCK5,CTS8#/RTS8#/SS8#,,SSLA0,,,,ET_TX_CLK,,,,
PC5,12,5,,,,,MTIOC3B,MTCLKD,TIOCD6,TCLKF,TMRI2,PO29,,,,SCK8,,,RSPCKA,,,,ET_ETXD2,,,,
PC6,12,6,,IRQ13,,,MTIOC3C,MTCLKA,TIOCA6,,TMCI2,PO30,,,,RXD8/SMISO8/SSCL8,,,MOSIA,,,,ET_ETXD3,,,,
PC7,12,7,,IRQ14,,,MTIOC3A,MTCLKB,TIOCB6,,TMO2,PO31,,,,TXD8/SMOSI8/SSDA8,,,MISOA,,,,ET_COL,,,,
PD0,13,0,AN008,IRQ0,,,,,TIOCA7,,,,,,,,,,,,,,,,,,
PD1,13,1,AN009,IRQ1,,,MTIOC4B,,TIOCB7,TCLKG,,,,,,,,,MOSIC,,,CTX0,,,,,
PD2,13,2,AN010,IRQ2,,,MTIOC4D,,TIOCA8,,,,,,,,,,MISOC,,,CRX0,,,,,
PD3,13,3,AN011,IRQ3,,,,,TIOCB8,TCLKH,,,POE8#,,,,,,RSPCKC,,,,,,,,
PD4,13,4,AN012,IRQ4,,,,,,,,,POE3#,,,,,,SSLC0,,,,,,,,
PD5,13,5,AN013,IRQ5,,,MTIC5W,,,,,,POE2#,,,,,,SSLC1,,,,,,,,
PD6,13,6,AN6,IRQ6,,,MTIC5V,,,,,,POE1#,,,,,,SSLC2,,,,,,,,
PD7,13,7,AN7,IRQ7,,,MTIC5U,,,,,,POE0#,,,,,,SSLC3,,,,,,,,
PE0,14,0,,,,,,,TIOCC9,,,,,,,,,,SSLB1,,,,,,,,
PE1,14,1,,,,,MTIOC4C,,TIOCD9,,,PO18,,,,,,,SSLB2,RSPCKB,,,,,,,
